datetime_AEST,datetime_local,location_id,location_name,BPM2.5,BSP,CO,NO2,O3,PM10,SO2,VWS,VWD,Sigma,SWS,DBT,SWD
2019-12-31 23:00:00,2020-01-01 00:00:00,10001,Alphington,,27.06,0.083,8.117,7.168,20.786,0.116,0.189,150.448,71.771,0.333,14.173,158.902
2020-01-01 00:00:00,2020-01-01 01:00:00,10001,Alphington,,,,,,23.105,,0.401,234.756,51.636,0.495,13.445,229.781
2020-01-01 01:00:00,2020-01-01 02:00:00,10001,Alphington,,27.446,0.177,14.337,0.582,22.552,0.132,0.177,256.176,72.22,0.328,12.793,208.602
2020-01-01 02:00:00,2020-01-01 03:00:00,10001,Alphington,,29.603,0.185,13.375,0.523,20.024,0.095,0.144,266.884,80.048,0.366,12.367,168.254
2020-01-01 03:00:00,2020-01-01 04:00:00,10001,Alphington,,30.4,0.175,12.037,0.362,17.912,0.095,0.128,334.522,59.602,0.226,11.462,176.208
2020-01-01 04:00:00,2020-01-01 05:00:00,10001,Alphington,,29.349,0.194,10.541,0.278,17.402,0.136,0.123,56.427,72.523,0.273,10.936,136.465
2020-01-01 05:00:00,2020-01-01 06:00:00,10001,Alphington,,26.873,0.169,7.628,0.817,16.237,0.128,0.332,139.729,43.655,0.41,10.694,142.199
2020-01-01 06:00:00,2020-01-01 07:00:00,10001,Alphington,,29.198,0.144,5.684,4.296,20.003,0.072,0.393,120.468,48.621,0.512,12.603,128.791
2020-01-01 07:00:00,2020-01-01 08:00:00,10001,Alphington,,35.119,0.137,8.245,8.133,29.398,0.667,0.415,197.239,72.081,0.757,15.995,183.02
2020-01-01 08:00:00,2020-01-01 09:00:00,10001,Alphington,,24.885,0.051,3.721,14.185,30.247,1.092,1.49,217.828,40.397,1.788,18.506,208.021
2020-01-01 09:00:00,2020-01-01 10:00:00,10001,Alphington,,15.882,0.02,1.597,18.651,10.599,0.506,2.183,217.93,30.232,2.437,20.144,217.119
2020-01-01 10:00:00,2020-01-01 11:00:00,10001,Alphington,,11.884,-0.004,1.127,20.545,4.722,0.314,2.446,203.053,31.611,2.751,21.588,200.767
2020-01-01 11:00:00,2020-01-01 12:00:00,10001,Alphington,,10.627,-0.008,1.098,22.152,10.854,0.183,2.129,199.544,34.661,2.439,22.969,194.341
2020-01-01 12:00:00,2020-01-01 13:00:00,10001,Alphington,,11.095,-0.006,1.287,25.402,11.67,0.29,1.776,200.65,46.635,2.314,23.842,194.831
2020-01-01 13:00:00,2020-01-01 14:00:00,10001,Alphington,,12.006,0.003,1.508,28.976,15.412,0.421,1.237,183.999,61.768,1.947,25.415,181.212
2020-01-01 14:00:00,2020-01-01 15:00:00,10001,Alphington,,12.301,0.008,1.705,31.191,15.194,0.422,0.925,199.631,68.284,1.618,26.3,188.496
2020-01-01 15:00:00,2020-01-01 16:00:00,10001,Alphington,,13.575,0.014,1.823,30.572,18.468,0.252,2.231,206.5,46.226,2.739,27.148,191.874
2020-01-01 16:00:00,2020-01-01 17:00:00,10001,Alphington,,16.226,0.023,1.796,29.22,17.404,0.223,2.22,193.962,30.61,2.492,27.338,190.484
