datetime_AEST,datetime_local,location_id,location_name,BSP,PM10,DBT
2019-12-31 23:00:00,2020-01-01 00:00:00,10213,Brooklyn,25.429,26.242,15.863
2020-01-01 00:00:00,2020-01-01 01:00:00,10213,Brooklyn,,25.276,14.822
2020-01-01 01:00:00,2020-01-01 02:00:00,10213,Brooklyn,24.962,22.765,14.323
2020-01-01 02:00:00,2020-01-01 03:00:00,10213,Brooklyn,27.433,18.106,14.034
2020-01-01 03:00:00,2020-01-01 04:00:00,10213,Brooklyn,29.718,20.941,12.756
2020-01-01 04:00:00,2020-01-01 05:00:00,10213,Brooklyn,27.751,23.388,12.186
2020-01-01 05:00:00,2020-01-01 06:00:00,10213,Brooklyn,25.838,26.451,12.561
2020-01-01 06:00:00,2020-01-01 07:00:00,10213,Brooklyn,24.275,26.549,14.592
2020-01-01 07:00:00,2020-01-01 08:00:00,10213,Brooklyn,22.495,26.111,16.956
2020-01-01 08:00:00,2020-01-01 09:00:00,10213,Brooklyn,20.229,20.444,18.495
2020-01-01 09:00:00,2020-01-01 10:00:00,10213,Brooklyn,19.55,17.536,19.233
2020-01-01 10:00:00,2020-01-01 11:00:00,10213,Brooklyn,16.137,9.615,20.544
2020-01-01 11:00:00,2020-01-01 12:00:00,10213,Brooklyn,14.86,19.337,20.955
2020-01-01 12:00:00,2020-01-01 13:00:00,10213,Brooklyn,13.184,11.545,21.928
2020-01-01 13:00:00,2020-01-01 14:00:00,10213,Brooklyn,11.486,13.613,22.764
2020-01-01 14:00:00,2020-01-01 15:00:00,10213,Brooklyn,12.61,20.641,23.126
2020-01-01 15:00:00,2020-01-01 16:00:00,10213,Brooklyn,15.122,31.264,22.717
2020-01-01 16:00:00,2020-01-01 17:00:00,10213,Brooklyn,17.239,30.787,22.522
2020-01-01 17:00:00,2020-01-01 18:00:00,10213,Brooklyn,18.39,33.258,22.054
2020-01-01 18:00:00,2020-01-01 19:00:00,10213,Brooklyn,19.383,28.216,20.63
2020-01-01 19:00:00,2020-01-01 20:00:00,10213,Brooklyn,20.932,19.642,19.423
2020-01-01 20:00:00,2020-01-01 21:00:00,10213,Brooklyn,17.516,7.721,18.995
2020-01-01 21:00:00,2020-01-01 22:00:00,10213,Brooklyn,15.48,13.329,18.685
2020-01-01 22:00:00,2020-01-01 23:00:00,10213,Brooklyn,16.844,21.78,18.15
2020-01-01 23:00:00,2020-01-02 00:00:00,10213,Brooklyn,20.159,19.966,17.521
2020-01-02 00:00:00,2020-01-02 01:00:00,10213,Brooklyn,,12.737,17.15
2020-01-02 01:00:00,2020-01-02 02:00:00,10213,Brooklyn,17.778,12.552,16.492
2020-01-02 02:00:00,2020-01-02 03:00:00,10213,Brooklyn,20.074,14.438,15.222
2020-01-02 03:00:00,2020-01-02 04:00:00,10213,Brooklyn,21.57,12.884,14.583
2020-01-02 04:00:00,2020-01-02 05:00:00,10213,Brooklyn,22.755,19.276,13.616
2020-01-02 05:00:00,2020-01-02 06:00:00,10213,Brooklyn,25.539,29.794,14.246
2020-01-02 06:00:00,2020-01-02 07:00:00,10213,Brooklyn,33.817,57.63,16.659
2020-01-02 07:00:00,2020-01-02 08:00:00,10213,Brooklyn,26.617,34.065,18.533
2020-01-02 08:00:00,2020-01-02 09:00:00,10213,Brooklyn,19.079,12.521,20.121
2020-01-02 09:00:00,2020-01-02 10:00:00,10213,Brooklyn,21.953,32.319,20.609
2020-01-02 10:00:00,2020-01-02 11:00:00,10213,Brooklyn,24.86,27.22,21.1
2020-01-02 11:00:00,2020-01-02 12:00:00,10213,Brooklyn,37.18,-9.359,22.25
2020-01-02 12:00:00,2020-01-02 13:00:00,10213,Brooklyn,83.316,33.953,22.945
2020-01-02 13:00:00,2020-01-02 14:00:00,10213,Brooklyn,52.527,32.644,23.42
2020-01-02 14:00:00,2020-01-02 15:00:00,10213,Brooklyn,37.87,33.548,23.308
2020-01-02 15:00:00,2020-01-02 16:00:00,10213,Brooklyn,33.717,18.369,22.876
2020-01-02 16:00:00,2020-01-02 17:00:00,10213,Brooklyn,16.838,21.182,22.382
2020-01-02 17:00:00,2020-01-02 18:00:00,10213,Brooklyn,17.179,39.149,21.337
2020-01-02 18:00:00,2020-01-02 19:00:00,10213,Brooklyn,22.101,29.702,20.152
2020-01-02 19:00:00,2020-01-02 20:00:00,10213,Brooklyn,22.944,19.947,19.459
2020-01-02 20:00:00,2020-01-02 21:00:00,10213,Brooklyn,20.993,5.267,19.02
2020-01-02 21:00:00,2020-01-02 22:00:00,10213,Brooklyn,17.495,7.694,18.664
2020-01-02 22:00:00,2020-01-02 23:00:00,10213,Brooklyn,21.19,28.29,17.944
2020-01-02 23:00:00,2020-01-03 00:00:00,10213,Brooklyn,21.899,15.378,17.548
2020-01-03 00:00:00,2020-01-03 01:00:00,10213,Brooklyn,,10.616,17.153
2020-01-03 01:00:00,2020-01-03 02:00:00,10213,Brooklyn,18.532,8.094,16.879
2020-01-03 02:00:00,2020-01-03 03:00:00,10213,Brooklyn,21.769,16.767,16.729
