datetime_AEST,datetime_local,location_id,location_name,BPM2.5,DBT
2019-12-31 23:00:00,2020-01-01 00:00:00,10219,Churchill,-2.415,11.204
2020-01-01 00:00:00,2020-01-01 01:00:00,10219,Churchill,-1.077,9.561
2020-01-01 01:00:00,2020-01-01 02:00:00,10219,Churchill,1.907,8.515
2020-01-01 02:00:00,2020-01-01 03:00:00,10219,Churchill,2.994,7.759
2020-01-01 03:00:00,2020-01-01 04:00:00,10219,Churchill,2.417,6.437
2020-01-01 04:00:00,2020-01-01 05:00:00,10219,Churchill,2.833,6.662
2020-01-01 05:00:00,2020-01-01 06:00:00,10219,Churchill,-0.042,6.673
2020-01-01 06:00:00,2020-01-01 07:00:00,10219,Churchill,-4.629,9.376
2020-01-01 07:00:00,2020-01-01 08:00:00,10219,Churchill,-8.067,13.312
2020-01-01 08:00:00,2020-01-01 09:00:00,10219,Churchill,-4.681,17.038
2020-01-01 09:00:00,2020-01-01 10:00:00,10219,Churchill,4.513,19.113
2020-01-01 10:00:00,2020-01-01 11:00:00,10219,Churchill,11.79,20.707
2020-01-01 11:00:00,2020-01-01 12:00:00,10219,Churchill,13.75,21.865
2020-01-01 12:00:00,2020-01-01 13:00:00,10219,Churchill,9.849,22.884
2020-01-01 13:00:00,2020-01-01 14:00:00,10219,Churchill,7.968,23.83
2020-01-01 14:00:00,2020-01-01 15:00:00,10219,Churchill,9.922,24.363
2020-01-01 15:00:00,2020-01-01 16:00:00,10219,Churchill,10.81,23.866
2020-01-01 16:00:00,2020-01-01 17:00:00,10219,Churchill,9.765,23.485
2020-01-01 17:00:00,2020-01-01 18:00:00,10219,Churchill,9.47,22.792
2020-01-01 18:00:00,2020-01-01 19:00:00,10219,Churchill,9.982,21.807
2020-01-01 19:00:00,2020-01-01 20:00:00,10219,Churchill,12.751,19.501
2020-01-01 20:00:00,2020-01-01 21:00:00,10219,Churchill,13.074,17.574
2020-01-01 21:00:00,2020-01-01 22:00:00,10219,Churchill,9.011,16.081
2020-01-01 22:00:00,2020-01-01 23:00:00,10219,Churchill,4.237,13.738
2020-01-01 23:00:00,2020-01-02 00:00:00,10219,Churchill,4.999,12.002
2020-01-02 00:00:00,2020-01-02 01:00:00,10219,Churchill,8.174,10.919
2020-01-02 01:00:00,2020-01-02 02:00:00,10219,Churchill,8.346,10.026
2020-01-02 02:00:00,2020-01-02 03:00:00,10219,Churchill,6.576,9.336
2020-01-02 03:00:00,2020-01-02 04:00:00,10219,Churchill,5.203,8.686
2020-01-02 04:00:00,2020-01-02 05:00:00,10219,Churchill,5.09,7.87
2020-01-02 05:00:00,2020-01-02 06:00:00,10219,Churchill,5.431,8.665
2020-01-02 06:00:00,2020-01-02 07:00:00,10219,Churchill,0.039,11.16
2020-01-02 07:00:00,2020-01-02 08:00:00,10219,Churchill,-3.612,15.759
2020-01-02 08:00:00,2020-01-02 09:00:00,10219,Churchill,-3.865,18.884
2020-01-02 09:00:00,2020-01-02 10:00:00,10219,Churchill,2.375,20.927
2020-01-02 10:00:00,2020-01-02 11:00:00,10219,Churchill,8.097,22.828
2020-01-02 11:00:00,2020-01-02 12:00:00,10219,Churchill,7.798,23.764
2020-01-02 12:00:00,2020-01-02 13:00:00,10219,Churchill,5.148,25.021
2020-01-02 13:00:00,2020-01-02 14:00:00,10219,Churchill,5.322,25.621
2020-01-02 14:00:00,2020-01-02 15:00:00,10219,Churchill,6.958,26.264
2020-01-02 15:00:00,2020-01-02 16:00:00,10219,Churchill,10.249,26.407
2020-01-02 16:00:00,2020-01-02 17:00:00,10219,Churchill,11.889,25.657
2020-01-02 17:00:00,2020-01-02 18:00:00,10219,Churchill,11.124,24.491
2020-01-02 18:00:00,2020-01-02 19:00:00,10219,Churchill,10.234,22.159
2020-01-02 19:00:00,2020-01-02 20:00:00,10219,Churchill,10.049,19.454
2020-01-02 20:00:00,2020-01-02 21:00:00,10219,Churchill,10.535,17.508
2020-01-02 21:00:00,2020-01-02 22:00:00,10219,Churchill,8.671,16.339
2020-01-02 22:00:00,2020-01-02 23:00:00,10219,Churchill,6.954,15.511
2020-01-02 23:00:00,2020-01-03 00:00:00,10219,Churchill,5.46,14.906
2020-01-03 00:00:00,2020-01-03 01:00:00,10219,Churchill,4.533,14.37
2020-01-03 01:00:00,2020-01-03 02:00:00,10219,Churchill,6.722,12.223
2020-01-03 02:00:00,2020-01-03 03:00:00,10219,Churchill,9.079,10.77
2020-01-03 03:00:00,2020-01-03 04:00:00,10219,Churchill,11.888,9.513
2020-01-03 04:00:00,2020-01-03 05:00:00,10219,Churchill,12.476,8.756
2020-01-03 05:00:00,2020-01-03 06:00:00,10219,Churchill,13.419,8.78
2020-01-03 06:00:00,2020-01-03 07:00:00,10219,Churchill,12.582,10.085
2020-01-03 07:00:00,2020-01-03 08:00:00,10219,Churchill,7.183,12.438
2020-01-03 08:00:00,2020-01-03 09:00:00,10219,Churchill,8.691,13.745
2020-01-03 09:00:00,2020-01-03 10:00:00,10219,Churchill,34.526,15.746
2020-01-03 10:00:00,2020-01-03 11:00:00,10219,Churchill,75.63,17.442
2020-01-03 11:00:00,2020-01-03 12:00:00,10219,Churchill,117.012,20.016
2020-01-03 12:00:00,2020-01-03 13:00:00,10219,Churchill,171.103,22.767
