datetime_AEST,datetime_local,location_id,location_name,BSP,NO2,O3,PM10,VWS,VWD,Sigma,SWS,DBT,SWD
2019-12-31 23:00:00,2020-01-01 00:00:00,10022,Dandenong,42.783,6.035,9.466,27.699,1.107,103.346,20.091,1.154,14.613,102
2020-01-01 00:00:00,2020-01-01 01:00:00,10022,Dandenong,,,,21.002,0.777,107.066,37.839,0.855,13.938,119.3
2020-01-01 01:00:00,2020-01-01 02:00:00,10022,Dandenong,25.41,10.715,2.832,23.05,0.275,94.273,54.715,0.417,13.073,110.11
2020-01-01 02:00:00,2020-01-01 03:00:00,10022,Dandenong,25.652,11.256,0.97,20.587,0.43,32.791,60.682,0.571,12.4,94.29
2020-01-01 03:00:00,2020-01-01 04:00:00,10022,Dandenong,23.288,10.906,0.771,15.886,0.648,17.278,23.433,0.689,11.691,86.48
2020-01-01 04:00:00,2020-01-01 05:00:00,10022,Dandenong,21.172,9.849,1.078,17.278,0.366,14.468,41.806,0.46,11.29,122.4
2020-01-01 05:00:00,2020-01-01 06:00:00,10022,Dandenong,21.817,8.46,2.434,15.159,1.383,14.207,13.375,1.415,11.714,58.43
2020-01-01 06:00:00,2020-01-01 07:00:00,10022,Dandenong,23.835,6.545,6.557,20.313,1.169,24.168,20.148,1.23,14.2,57.11
2020-01-01 07:00:00,2020-01-01 08:00:00,10022,Dandenong,20.818,3.866,12.728,28.798,0.29,53.668,82.351,0.824,17.319,159.16
2020-01-01 08:00:00,2020-01-01 09:00:00,10022,Dandenong,20.446,2.484,16.289,20.89,1.711,233.706,40.566,2.09,18.513,233.81
2020-01-01 09:00:00,2020-01-01 10:00:00,10022,Dandenong,17.467,1.521,18.669,13.264,2.818,227.232,25.383,3.036,19.661,226.79
2020-01-01 10:00:00,2020-01-01 11:00:00,10022,Dandenong,14.036,1.006,18.899,1.929,2.574,236.523,30.642,2.881,20.976,232.57
2020-01-01 11:00:00,2020-01-01 12:00:00,10022,Dandenong,11.725,0.874,21.022,12.507,2.62,219.594,37.07,3.14,22.311,214.57
