datetime_AEST,datetime_local,location_id,location_name,BPM2.5,CO,NO2,O3,PM10,VWS,VWD,Sigma,SWS,DBT,SWD
2019-12-31 23:00:00,2020-01-01 00:00:00,10003,Footscray,9.922,0.097,4.84,10.918,,1.406,106.325,14.365,1.449,15.58,107.784
2020-01-01 00:00:00,2020-01-01 01:00:00,10003,Footscray,11.164,,,,,0.906,99.951,15.203,0.935,14.45,100.009
2020-01-01 01:00:00,2020-01-01 02:00:00,10003,Footscray,10.433,0.184,13.702,3.218,,0.968,90.502,14.563,0.996,14.114,88.973
2020-01-01 02:00:00,2020-01-01 03:00:00,10003,Footscray,9.7,0.215,14.889,0.74,,0.807,302.322,55.788,1.097,13.921,250.808
2020-01-01 03:00:00,2020-01-01 04:00:00,10003,Footscray,10.562,0.257,12.36,-0.094,,1.222,292.816,14.365,1.26,13.129,292.531
2020-01-01 04:00:00,2020-01-01 05:00:00,10003,Footscray,10.824,0.148,10.606,-0.071,,1.305,284.249,15.81,1.352,12.325,284.274
2020-01-01 05:00:00,2020-01-01 06:00:00,10003,Footscray,8.318,0.147,10.332,0.887,,1.251,285.301,18.315,1.312,12.546,286.661
2020-01-01 06:00:00,2020-01-01 07:00:00,10003,Footscray,6.864,0.1,8.402,4.511,,1.543,249.415,19.476,1.634,14.355,249.977
2020-01-01 07:00:00,2020-01-01 08:00:00,10003,Footscray,10.152,0.065,4.569,10.979,,1.963,219.629,24.251,2.119,17.164,219.459
2020-01-01 08:00:00,2020-01-01 09:00:00,10003,Footscray,13.384,0.046,3.659,14.607,,1.967,213.378,33.575,2.252,18.613,211.944
2020-01-01 09:00:00,2020-01-01 10:00:00,10003,Footscray,10.864,0.041,2.323,18.445,,1.794,227.302,47.637,2.299,20.194,220.494
2020-01-01 10:00:00,2020-01-01 11:00:00,10003,Footscray,9.513,0.035,2.329,20.819,,2.766,186.834,36.253,3.253,21.632,189.823
2020-01-01 11:00:00,2020-01-01 12:00:00,10003,Footscray,8.046,0.035,2.662,21.434,,3.309,146.437,28.298,3.699,22.763,146.411
2020-01-01 12:00:00,2020-01-01 13:00:00,10003,Footscray,6.461,0.038,3.284,21.832,,3.027,124.104,26.555,3.333,23.737,124.512
2020-01-01 13:00:00,2020-01-01 14:00:00,10003,Footscray,4.989,0.045,3.817,23.214,,2.462,140.411,28.905,2.727,24.762,139.883
2020-01-01 14:00:00,2020-01-01 15:00:00,10003,Footscray,4.997,0.078,5.592,24.419,,2.707,146.488,27.851,2.983,25.69,146.32
2020-01-01 15:00:00,2020-01-01 16:00:00,10003,Footscray,6.469,0.117,2.386,25.947,,3.809,163.252,23.461,4.085,25.314,163.44
2020-01-01 16:00:00,2020-01-01 17:00:00,10003,Footscray,7.779,0.134,3.939,23.031,,3.956,166.547,19.576,4.17,24.892,166.992
2020-01-01 17:00:00,2020-01-01 18:00:00,10003,Footscray,9.678,0.128,2.262,22.252,,4.169,175.717,18.371,4.376,23.66,176.014
2020-01-01 18:00:00,2020-01-01 19:00:00,10003,Footscray,9.899,0.108,1.59,17.396,,5.24,182.681,16.056,5.429,21.46,182.322
2020-01-01 19:00:00,2020-01-01 20:00:00,10003,Footscray,8.944,0.078,2.047,15.38,,4.421,175.054,16.678,4.594,19.971,175.488
2020-01-01 20:00:00,2020-01-01 21:00:00,10003,Footscray,8.866,0.044,2.898,15.026,,3.263,164.618,18.491,3.417,19.465,165.331
2020-01-01 21:00:00,2020-01-01 22:00:00,10003,Footscray,6.754,0.036,3.474,15.659,,2.856,160.166,18.631,2.988,19.139,159.582
2020-01-01 22:00:00,2020-01-01 23:00:00,10003,Footscray,5.252,0.048,4.712,13.074,,2.436,132.058,18.594,2.554,18.415,131.149
2020-01-01 23:00:00,2020-01-02 00:00:00,10003,Footscray,6.123,0.055,3.328,13.819,,1.981,122.65,18.87,2.074,17.729,122.203
2020-01-02 00:00:00,2020-01-02 01:00:00,10003,Footscray,7.43,,,,,1.319,108.905,17.889,1.377,16.917,109.977
2020-01-02 01:00:00,2020-01-02 02:00:00,10003,Footscray,7.496,0.067,7.916,7.618,,0.723,112.188,29.082,0.784,15.635,111.526
2020-01-02 02:00:00,2020-01-02 03:00:00,10003,Footscray,5.86,0.088,10.053,4.651,,0.494,321.169,41.184,0.58,14.781,229.928
2020-01-02 03:00:00,2020-01-02 04:00:00,10003,Footscray,5.871,0.12,12.22,2.278,,0.777,308.703,20.088,0.817,14.821,304.208
2020-01-02 04:00:00,2020-01-02 05:00:00,10003,Footscray,6.973,0.147,13.697,-0.201,,1.232,289.972,12.656,1.262,14.125,289.299
2020-01-02 05:00:00,2020-01-02 06:00:00,10003,Footscray,5.216,0.167,12.991,0.25,,1.323,281.352,15.051,1.368,14.122,281.782
2020-01-02 06:00:00,2020-01-02 07:00:00,10003,Footscray,6.696,0.21,17.429,1.344,,1.223,252.77,18.872,1.287,16.24,252.616
2020-01-02 07:00:00,2020-01-02 08:00:00,10003,Footscray,8.782,0.107,11.109,7.276,,1.161,196.967,42.357,1.453,19.166,192.985
2020-01-02 08:00:00,2020-01-02 09:00:00,10003,Footscray,7.773,0.061,7.471,12.965,,1.38,120.859,38.355,1.694,21.284,123.559
2020-01-02 09:00:00,2020-01-02 10:00:00,10003,Footscray,7.027,0.057,6.474,15.429,,1.796,162.376,46.919,2.34,22.172,152.921
2020-01-02 10:00:00,2020-01-02 11:00:00,10003,Footscray,6.906,0.063,3.013,22.55,,3.05,185.378,25.839,3.368,22.246,184.892
2020-01-02 11:00:00,2020-01-02 12:00:00,10003,Footscray,6.495,0.097,2.478,24.279,,3.288,187.652,21.859,3.517,23.302,186.634
2020-01-02 12:00:00,2020-01-02 13:00:00,10003,Footscray,6.239,0.136,2.341,25.436,,2.64,177.646,31.016,3.027,24.826,176.134
2020-01-02 13:00:00,2020-01-02 14:00:00,10003,Footscray,9.029,0.136,2.436,28.832,,3.324,179.417,24.377,3.611,25.537,178.736
2020-01-02 14:00:00,2020-01-02 15:00:00,10003,Footscray,11.145,0.15,2.993,28.93,,3.991,180.224,19.417,4.218,25.206,179.944
2020-01-02 15:00:00,2020-01-02 16:00:00,10003,Footscray,11.464,0.148,2.325,25.616,,4.301,183.605,17.278,4.486,24.279,182.989
2020-01-02 16:00:00,2020-01-02 17:00:00,10003,Footscray,9.595,0.134,2.57,21.717,,4.74,184.525,16.837,4.922,23.785,184.171
2020-01-02 17:00:00,2020-01-02 18:00:00,10003,Footscray,8.921,0.134,2.963,20.108,,5.039,190.988,14.288,5.179,22.457,190.436
2020-01-02 18:00:00,2020-01-02 19:00:00,10003,Footscray,5.852,0.126,2.764,18.825,,4.694,187.63,14.607,4.833,21.17,187.818
2020-01-02 19:00:00,2020-01-02 20:00:00,10003,Footscray,4.083,0.104,3.736,16.343,,4.087,188.177,14.409,4.21,20.106,188.609
2020-01-02 20:00:00,2020-01-02 21:00:00,10003,Footscray,3.966,0.071,5.075,14.54,,2.819,174.717,17.906,2.95,19.649,175.062
2020-01-02 21:00:00,2020-01-02 22:00:00,10003,Footscray,4.253,0.063,4.596,14.043,,2.466,167.67,17.333,2.568,19.049,168.621
2020-01-02 22:00:00,2020-01-02 23:00:00,10003,Footscray,4.156,0.064,4.355,13.38,,2.052,175.326,16.672,2.131,18.297,175.915
2020-01-02 23:00:00,2020-01-03 00:00:00,10003,Footscray,2.748,0.07,3.837,13.881,,2.018,172.113,17.199,2.102,17.945,172.676
2020-01-03 00:00:00,2020-01-03 01:00:00,10003,Footscray,3.449,,,,,1.109,170.012,22.109,1.176,17.184,170.256
2020-01-03 01:00:00,2020-01-03 02:00:00,10003,Footscray,1.904,0.068,5.279,11.366,,1.612,177.78,15.777,1.671,16.847,178.19
2020-01-03 02:00:00,2020-01-03 03:00:00,10003,Footscray,2.73,0.078,5.104,10.189,,1.047,179.302,25.687,1.119,16.194,177.092
2020-01-03 03:00:00,2020-01-03 04:00:00,10003,Footscray,0.39,0.118,11.935,1.826,,0.958,306.933,37.855,1.101,15.027,263.731
2020-01-03 04:00:00,2020-01-03 05:00:00,10003,Footscray,2.067,0.155,14.382,-0.128,,1.21,264.733,19.157,1.286,14.212,267.936
2020-01-03 05:00:00,2020-01-03 06:00:00,10003,Footscray,4.661,0.211,16.649,-0.192,,0.747,278.815,49.154,1.118,14.846,273.1
2020-01-03 06:00:00,2020-01-03 07:00:00,10003,Footscray,7.382,0.178,14.674,1.547,,0.426,264.003,67.663,0.924,16.313,255.573
2020-01-03 07:00:00,2020-01-03 08:00:00,10003,Footscray,8.4,0.103,10.492,8.149,,1.129,157.659,50.192,1.511,19.015,154.826
2020-01-03 08:00:00,2020-01-03 09:00:00,10003,Footscray,12.742,0.109,7.74,13.666,,1.592,158.637,36.771,1.84,20.45,161.385
2020-01-03 09:00:00,2020-01-03 10:00:00,10003,Footscray,17.747,0.535,13.244,26.4,,1.22,142.713,47.647,1.592,21.941,142.007
2020-01-03 10:00:00,2020-01-03 11:00:00,10003,Footscray,35.52,0.753,17.653,36.749,,1.224,40.742,65.972,1.95,24.25,121.683
2020-01-03 11:00:00,2020-01-03 12:00:00,10003,Footscray,60.27,0.928,11.578,80.85,,1.123,54.793,53.757,1.553,27.632,107.652
2020-01-03 12:00:00,2020-01-03 13:00:00,10003,Footscray,80.7,0.994,24.356,83.598,,2.256,124.403,42.027,2.749,29.073,132.066
2020-01-03 13:00:00,2020-01-03 14:00:00,10003,Footscray,100.444,1.254,24.633,101.017,,3.142,133.115,18.507,3.285,29.646,132.81
2020-01-03 14:00:00,2020-01-03 15:00:00,10003,Footscray,123.991,1.524,21.491,117.131,,3.376,142.097,20.268,3.576,31.152,141.657
2020-01-03 15:00:00,2020-01-03 16:00:00,10003,Footscray,145.149,1.49,14.184,112.122,,3.614,150.93,17.26,3.756,31.8,151.016
2020-01-03 16:00:00,2020-01-03 17:00:00,10003,Footscray,162.48,1.194,19.508,103.251,,3.416,148.82,17.936,3.561,32.894,148.393
2020-01-03 17:00:00,2020-01-03 18:00:00,10003,Footscray,156.275,0.987,12.666,92.282,,2.718,166.239,21.713,2.891,32.833,168.063
2020-01-03 18:00:00,2020-01-03 19:00:00,10003,Footscray,136.72,0.992,22.282,71.917,,2.068,150.457,26.291,2.254,32.417,152.461
2020-01-03 19:00:00,2020-01-03 20:00:00,10003,Footscray,117.481,1.056,31.772,54.88,,0.459,129.948,86.23,1.713,30.74,179.808
2020-01-03 20:00:00,2020-01-03 21:00:00,10003,Footscray,109.089,0.896,24.405,46.567,,1.54,297.032,19.914,1.625,27.575,297.227
2020-01-03 21:00:00,2020-01-03 22:00:00,10003,Footscray,99.022,0.804,24.107,36.92,,1.225,344.116,23.733,1.329,25.649,255.057
2020-01-03 22:00:00,2020-01-03 23:00:00,10003,Footscray,89.241,0.877,33.595,29.109,,0.922,34.676,29.63,1.072,23.575,84.904
2020-01-03 23:00:00,2020-01-04 00:00:00,10003,Footscray,83.088,0.907,35.449,25.317,,1.198,42.407,14.183,1.23,22.639,42.991
2020-01-04 00:00:00,2020-01-04 01:00:00,10003,Footscray,80.642,,,,,1.504,34.824,20.79,1.559,23.22,46.252
2020-01-04 01:00:00,2020-01-04 02:00:00,10003,Footscray,74.557,0.703,32.17,12.677,,0.832,52.898,64.046,1.131,20.788,88.189
2020-01-04 02:00:00,2020-01-04 03:00:00,10003,Footscray,68.08,0.51,21.656,20.044,,2.009,39.233,11.8,2.048,21.199,39.473
2020-01-04 03:00:00,2020-01-04 04:00:00,10003,Footscray,54.102,0.381,16.597,26.945,,2.147,22.392,14.532,2.212,22.35,40.664
2020-01-04 04:00:00,2020-01-04 05:00:00,10003,Footscray,43.154,0.302,11.627,44.279,,2.439,358.402,23.914,2.677,25.189,172.665
2020-01-04 05:00:00,2020-01-04 06:00:00,10003,Footscray,36.509,0.296,18.171,34.364,,2.984,239.155,23.425,3.162,25.695,244.045
2020-01-04 06:00:00,2020-01-04 07:00:00,10003,Footscray,35.311,0.295,12.095,27.962,,4.052,253.936,14.837,4.183,25.504,253.662
2020-01-04 07:00:00,2020-01-04 08:00:00,10003,Footscray,35.877,0.323,6.458,35.498,,3.807,231.699,16.404,3.96,26.315,231.963
2020-01-04 08:00:00,2020-01-04 09:00:00,10003,Footscray,34.176,0.239,5.289,41.965,,3.429,214.736,19.709,3.616,27.328,216.597
2020-01-04 09:00:00,2020-01-04 10:00:00,10003,Footscray,31.699,0.258,4.973,45.191,,3.52,174.483,22.369,3.773,28.078,176.523
2020-01-04 10:00:00,2020-01-04 11:00:00,10003,Footscray,29.137,0.284,4.317,47.194,,4.955,171.557,17.697,5.169,27.408,171.373
2020-01-04 11:00:00,2020-01-04 12:00:00,10003,Footscray,29.66,0.198,3.252,31.76,,6.432,171.318,16.733,6.691,23.291,171.814
2020-01-04 12:00:00,2020-01-04 13:00:00,10003,Footscray,29.123,0.122,2.762,24.388,,5.16,182.582,17.325,5.384,21.924,182.781
2020-01-04 13:00:00,2020-01-04 14:00:00,10003,Footscray,24.695,0.069,2.381,17.848,,6.413,189.823,14.044,6.596,19.842,189.335
2020-01-04 14:00:00,2020-01-04 15:00:00,10003,Footscray,20.489,0.018,1.712,16.925,,5.933,178.189,17.435,6.195,20.736,178.839
2020-01-04 15:00:00,2020-01-04 16:00:00,10003,Footscray,15.692,0.008,1.615,18.397,,6.925,181.17,15.849,7.176,20.636,181.583
2020-01-04 16:00:00,2020-01-04 17:00:00,10003,Footscray,11.295,0.009,1.68,20.943,,6.158,182.36,16.725,6.403,20.05,182.375
2020-01-04 17:00:00,2020-01-04 18:00:00,10003,Footscray,10.247,0.01,1.605,21.524,,5.823,177.272,17.372,6.068,19.076,177.511
2020-01-04 18:00:00,2020-01-04 19:00:00,10003,Footscray,11.274,0.009,1.564,20.116,,5.803,184.086,15.65,6.007,17.96,184.367
2020-01-04 19:00:00,2020-01-04 20:00:00,10003,Footscray,11.456,0.006,1.587,18.533,,4.839,179.814,17.492,5.052,16.905,180.051
2020-01-04 20:00:00,2020-01-04 21:00:00,10003,Footscray,9.753,0.007,1.933,17.771,,4.364,176.268,16.821,4.536,16.669,176.525
2020-01-04 21:00:00,2020-01-04 22:00:00,10003,Footscray,8.111,0.01,2.105,16.497,,3.86,178.77,18.431,4.055,16.531,179.521
2020-01-04 22:00:00,2020-01-04 23:00:00,10003,Footscray,8.041,0.011,1.757,16.325,,4.259,165.986,18.633,4.475,16.452,166.171
2020-01-04 23:00:00,2020-01-05 00:00:00,10003,Footscray,3.627,0.036,1.577,16.576,,4.121,156.061,16.534,4.268,16.254,156.657
2020-01-05 00:00:00,2020-01-05 01:00:00,10003,Footscray,0.2,,,,,3.944,159.896,16.35,4.082,16.096,160.158
2020-01-05 01:00:00,2020-01-05 02:00:00,10003,Footscray,2.778,0.042,1.564,16.163,,3.75,163.751,17.658,3.909,15.885,164.2
2020-01-05 02:00:00,2020-01-05 03:00:00,10003,Footscray,4.667,0.042,2.444,15.009,,3.806,157.565,17.163,3.957,15.744,158.043
2020-01-05 03:00:00,2020-01-05 04:00:00,10003,Footscray,1.383,0.044,1.901,15.706,,3.852,164.405,16.954,3.992,15.693,165.553
2020-01-05 04:00:00,2020-01-05 05:00:00,10003,Footscray,0.657,0.043,1.742,15.184,,3.836,164.755,18.244,4.005,15.707,165.683
2020-01-05 05:00:00,2020-01-05 06:00:00,10003,Footscray,3.366,0.043,2.293,14.682,,3.953,169.373,17.794,4.126,15.438,170.524
2020-01-05 06:00:00,2020-01-05 07:00:00,10003,Footscray,6.868,0.046,2.055,14.899,,3.884,173.279,16.044,4.022,14.677,173.546
2020-01-05 07:00:00,2020-01-05 08:00:00,10003,Footscray,9.072,0.056,2.114,14.742,,3.474,166.7,17.985,3.631,13.562,166.676
