datetime_AEST,datetime_local,location_id,location_name,BPM2.5,BSP,CO,NO2,O3,PM10,SO2,VWS,VWD,Sigma,SWS,DBT,SWD
2019-12-31 23:00:00,2020-01-01 00:00:00,10107,Geelong South,9.775,34.226,0.121,8.137,6.451,29.818,0.207,0.468,185.027,56.591,0.74,13.519,174.8
2020-01-01 00:00:00,2020-01-01 01:00:00,10107,Geelong South,9.849,,,,,19.999,,0.44,264.703,20.894,0.472,12.806,267.7
2020-01-01 01:00:00,2020-01-01 02:00:00,10107,Geelong South,9.322,28.487,0.207,11.405,1.542,20.986,0.438,0.884,253.319,20.407,0.938,11.649,254.1
2020-01-01 02:00:00,2020-01-01 03:00:00,10107,Geelong South,9.427,24.537,0.164,9.948,0.91,18.739,0.512,1.062,228.1,21.063,1.137,10.639,230
2020-01-01 03:00:00,2020-01-01 04:00:00,10107,Geelong South,9.523,18.057,0.073,8.242,2.559,15.624,0.134,0.828,261.565,38.425,1.016,10.814,258.5
2020-01-01 04:00:00,2020-01-01 05:00:00,10107,Geelong South,8.959,19.513,0.06,5.622,5.271,16.506,0.205,1.33,292.08,15.141,1.373,11.17,291.7
2020-01-01 05:00:00,2020-01-01 06:00:00,10107,Geelong South,6.457,16.298,0.042,6.083,4.017,13.026,0.244,1.911,281.533,15.412,1.981,11.214,280.9
2020-01-01 06:00:00,2020-01-01 07:00:00,10107,Geelong South,4.383,17.261,0.062,5.044,5.789,18.405,0.198,1.121,275.011,36.128,1.316,13.591,263.9
2020-01-01 07:00:00,2020-01-01 08:00:00,10107,Geelong South,1.97,17.746,0.036,2.293,12.187,20.591,0.208,2.855,290.039,17.955,2.995,16.749,289.3
2020-01-01 08:00:00,2020-01-01 09:00:00,10107,Geelong South,1.901,17.124,0.031,1.161,16.397,17.39,0.44,2.584,300.524,28.573,2.906,18.52,296.3
2020-01-01 09:00:00,2020-01-01 10:00:00,10107,Geelong South,6.344,11.174,0.025,1.097,19.071,8.305,0.373,3.434,248.751,24.445,3.731,20.855,249.2
