datetime_AEST,datetime_local,location_id,location_name,O3,SBPM25,VWS,VWD,Sigma,SWS,DBT,SWD
2019-12-31 23:00:00,2020-01-01 00:00:00,10169,Melton,5.567,,1,299.25,20.84,1.072,,297.565
2020-01-01 00:00:00,2020-01-01 01:00:00,10169,Melton,,,1.41,312.28,6.883,1.415,,312.053
2020-01-01 01:00:00,2020-01-01 02:00:00,10169,Melton,2.705,,1.4,313.88,11.872,1.434,,313.452
2020-01-01 02:00:00,2020-01-01 03:00:00,10169,Melton,3.23,,1.53,328.33,9.678,1.548,,328.523
2020-01-01 03:00:00,2020-01-01 04:00:00,10169,Melton,4.057,,1.46,310.62,12.581,1.503,,311.107
2020-01-01 04:00:00,2020-01-01 05:00:00,10169,Melton,3.188,,1.34,311.98,14.317,1.364,,308.522
2020-01-01 05:00:00,2020-01-01 06:00:00,10169,Melton,3.369,,1.39,321.22,16.824,1.445,,319.913
2020-01-01 06:00:00,2020-01-01 07:00:00,10169,Melton,6.952,,1.32,264.83,23.817,1.427,,269.883
2020-01-01 07:00:00,2020-01-01 08:00:00,10169,Melton,12.014,,1.33,242.44,27.013,1.46,,242.139
2020-01-01 08:00:00,2020-01-01 09:00:00,10169,Melton,17.311,,2.05,245.01,31.556,2.317,,246.94
2020-01-01 09:00:00,2020-01-01 10:00:00,10169,Melton,19.723,,2.13,232.36,40.208,2.626,,230.388
2020-01-01 10:00:00,2020-01-01 11:00:00,10169,Melton,21.213,,2.37,212.59,41.056,2.806,,205.634
2020-01-01 11:00:00,2020-01-01 12:00:00,10169,Melton,22.814,,2.1,192.97,46.086,2.774,,191.68
2020-01-01 12:00:00,2020-01-01 13:00:00,10169,Melton,24.373,,2.4,193.48,45.501,3.134,,193.622
2020-01-01 13:00:00,2020-01-01 14:00:00,10169,Melton,25.039,,2.57,212.51,46.38,3.159,,204.362
2020-01-01 14:00:00,2020-01-01 15:00:00,10169,Melton,27.763,,3.38,164.33,47.15,4.494,,175.534
2020-01-01 15:00:00,2020-01-01 16:00:00,10169,Melton,28.588,,5.37,152.43,15.248,5.564,,152.612
2020-01-01 16:00:00,2020-01-01 17:00:00,10169,Melton,27.933,,5.06,145.68,15.055,5.222,,145.88
2020-01-01 17:00:00,2020-01-01 18:00:00,10169,Melton,27.384,,4.36,153.15,16.615,4.539,,153.64
2020-01-01 18:00:00,2020-01-01 19:00:00,10169,Melton,23.74,,4.63,151.63,13.823,4.76,,152.372
2020-01-01 19:00:00,2020-01-01 20:00:00,10169,Melton,17.806,,4.6,155.28,11.011,4.676,,155.483
2020-01-01 20:00:00,2020-01-01 21:00:00,10169,Melton,16.392,,2.95,150.59,12.22,3.016,,149.593
2020-01-01 21:00:00,2020-01-01 22:00:00,10169,Melton,15.194,,1.65,137.56,11.586,1.683,,137.216
2020-01-01 22:00:00,2020-01-01 23:00:00,10169,Melton,15.002,,0.49,161.55,61.862,0.648,,193.622
2020-01-01 23:00:00,2020-01-02 00:00:00,10169,Melton,9.612,,0.68,231.67,26.198,0.751,,233.872
2020-01-02 00:00:00,2020-01-02 01:00:00,10169,Melton,,,0.87,268.84,25.005,0.96,,267.25
2020-01-02 01:00:00,2020-01-02 02:00:00,10169,Melton,5.334,,1.07,320.2,21.503,1.141,,316.903
2020-01-02 02:00:00,2020-01-02 03:00:00,10169,Melton,5.781,,1.26,321.6,8.752,1.273,,321.024
2020-01-02 03:00:00,2020-01-02 04:00:00,10169,Melton,5.031,,1.28,333.09,13.851,1.318,,329.422
2020-01-02 04:00:00,2020-01-02 05:00:00,10169,Melton,3.265,,1.09,303.73,16.212,1.133,,303.499
2020-01-02 05:00:00,2020-01-02 06:00:00,10169,Melton,2.226,,1.12,297.47,17.392,1.167,,297.517
2020-01-02 06:00:00,2020-01-02 07:00:00,10169,Melton,7.337,,1.36,287.47,14.98,1.404,,287.566
2020-01-02 07:00:00,2020-01-02 08:00:00,10169,Melton,13.218,,0.52,243.74,74.673,1.209,,212.189
2020-01-02 08:00:00,2020-01-02 09:00:00,10169,Melton,18.692,,0.83,92.6,67.322,1.322,,120.553
2020-01-02 09:00:00,2020-01-02 10:00:00,10169,Melton,21.822,,0.59,184.33,84.139,1.809,,170.63
2020-01-02 10:00:00,2020-01-02 11:00:00,10169,Melton,27.189,,1.92,188.28,52.734,2.862,,183.419
2020-01-02 11:00:00,2020-01-02 12:00:00,10169,Melton,32.602,,2.15,167.47,49.547,2.707,,178.664
2020-01-02 12:00:00,2020-01-02 13:00:00,10169,Melton,34.553,,2.28,137,42.676,2.767,,134.211
2020-01-02 13:00:00,2020-01-02 14:00:00,10169,Melton,36.891,,2.7,120.51,41.827,3.203,,124.588
2020-01-02 14:00:00,2020-01-02 15:00:00,10169,Melton,38.321,,4.41,151.5,22.278,4.761,,152.899
2020-01-02 15:00:00,2020-01-02 16:00:00,10169,Melton,36.796,,4.45,152.58,19.389,4.707,,152.909
2020-01-02 16:00:00,2020-01-02 17:00:00,10169,Melton,34.83,,4.57,148.06,15.841,4.736,,149.115
2020-01-02 17:00:00,2020-01-02 18:00:00,10169,Melton,29.419,,4.76,155.06,15.341,4.926,,155.676
2020-01-02 18:00:00,2020-01-02 19:00:00,10169,Melton,23.719,,4.41,159.42,14.575,4.55,,159.748
2020-01-02 19:00:00,2020-01-02 20:00:00,10169,Melton,20.124,,3.48,150.69,13.281,3.57,,151.332
2020-01-02 20:00:00,2020-01-02 21:00:00,10169,Melton,17.669,,2.27,171.65,19.484,2.396,,173.883
