datetime_AEST,datetime_local,location_id,location_name,BSP,O3,PM10,VWS,VWD,Sigma,SWS,DBT,SWD
2019-12-31 23:00:00,2020-01-01 00:00:00,10136,Mooroolbark,17.262,13.111,15.284,0.234,159.952,94.695,0.868,13.198,211.63
2020-01-01 00:00:00,2020-01-01 01:00:00,10136,Mooroolbark,,,15.398,0.189,316.026,80.412,0.545,10.887,199.96
2020-01-01 01:00:00,2020-01-01 02:00:00,10136,Mooroolbark,19.463,6.096,14.894,0.371,16.411,67.017,0.609,9.797,143.12
2020-01-01 02:00:00,2020-01-01 03:00:00,10136,Mooroolbark,24.102,4.693,14.202,0.249,7.677,72.082,0.464,8.612,156.5
2020-01-01 03:00:00,2020-01-01 04:00:00,10136,Mooroolbark,19.324,5.034,13.018,0.615,22.81,47.514,0.734,8.273,91.8
2020-01-01 04:00:00,2020-01-01 05:00:00,10136,Mooroolbark,15.37,5.304,11.62,0.13,91.155,84.94,0.354,7.307,150.93
2020-01-01 05:00:00,2020-01-01 06:00:00,10136,Mooroolbark,15.262,2.618,10.647,0.168,177.219,80.127,0.411,7.1,175.17
2020-01-01 06:00:00,2020-01-01 07:00:00,10136,Mooroolbark,16.076,5.337,16.693,0.216,174.286,68.738,0.339,10.563,166.22
2020-01-01 07:00:00,2020-01-01 08:00:00,10136,Mooroolbark,15.808,10.736,13.679,0.181,125.578,84.799,0.682,14.43,165.09
2020-01-01 08:00:00,2020-01-01 09:00:00,10136,Mooroolbark,15.573,15.248,15.657,1.144,201.329,70.455,1.799,18.122,175.52
2020-01-01 09:00:00,2020-01-01 10:00:00,10136,Mooroolbark,18.431,19.098,18.084,2.078,207.037,35.546,2.441,19.393,202.76
2020-01-01 10:00:00,2020-01-01 11:00:00,10136,Mooroolbark,17.655,23.024,17.465,1.821,191.754,50.984,2.444,21.242,190.19
2020-01-01 11:00:00,2020-01-01 12:00:00,10136,Mooroolbark,12.053,25.014,11.278,2.787,214.254,31.355,3.103,22,211.34
2020-01-01 12:00:00,2020-01-01 13:00:00,10136,Mooroolbark,8.872,25.254,8.654,2.635,216.763,31.57,2.975,23.146,214.71
2020-01-01 13:00:00,2020-01-01 14:00:00,10136,Mooroolbark,8.038,25.949,9.312,3.442,210.747,26.661,3.785,23.828,210.28
2020-01-01 14:00:00,2020-01-01 15:00:00,10136,Mooroolbark,9.074,27.825,10.386,2.297,199.455,43.463,2.876,24.81,191.48
2020-01-01 15:00:00,2020-01-01 16:00:00,10136,Mooroolbark,11.154,30.438,13.966,1.97,196.563,40.166,2.377,25.917,195.28
2020-01-01 16:00:00,2020-01-01 17:00:00,10136,Mooroolbark,14.692,31.761,15.479,2.413,209.901,34.293,2.821,26.083,203.29
2020-01-01 17:00:00,2020-01-01 18:00:00,10136,Mooroolbark,16.67,29.467,16.798,2.125,193.322,40.595,2.606,25.913,186.47
2020-01-01 18:00:00,2020-01-01 19:00:00,10136,Mooroolbark,12.746,24.05,24.743,1.992,148.003,32.915,2.24,24.16,148.25
2020-01-01 19:00:00,2020-01-01 20:00:00,10136,Mooroolbark,13.042,20.667,32.522,1.798,158.422,31.771,2.031,20.372,162.21
2020-01-01 20:00:00,2020-01-01 21:00:00,10136,Mooroolbark,10.479,16.896,15.699,2.099,201.491,23.464,2.249,18.092,199.83
2020-01-01 21:00:00,2020-01-01 22:00:00,10136,Mooroolbark,11.222,16.279,12.323,1.365,192.706,37.986,1.567,16.919,191.46
2020-01-01 22:00:00,2020-01-01 23:00:00,10136,Mooroolbark,11.335,15.417,11.669,0.25,103.757,91.947,1.027,15.526,159.52
