datetime_AEST,datetime_local,location_id,location_name,BPM2.5,BSP,CO,SO2,DBT
2019-12-31 23:00:00,2020-01-01 00:00:00,10017,Morwell East,4.346,32.758,0.054,0.209,12.196
2020-01-01 00:00:00,2020-01-01 01:00:00,10017,Morwell East,3.807,,,,10.446
2020-01-01 01:00:00,2020-01-01 02:00:00,10017,Morwell East,4.766,18.222,0.077,0.127,9.303
2020-01-01 02:00:00,2020-01-01 03:00:00,10017,Morwell East,4.588,15.98,0.059,-0.018,8.86
2020-01-01 03:00:00,2020-01-01 04:00:00,10017,Morwell East,5.242,19.533,0.07,0.052,7.672
2020-01-01 04:00:00,2020-01-01 05:00:00,10017,Morwell East,5.616,18.349,0.041,-0.074,7.746
2020-01-01 05:00:00,2020-01-01 06:00:00,10017,Morwell East,5.124,16.906,0.053,0.031,7.798
2020-01-01 06:00:00,2020-01-01 07:00:00,10017,Morwell East,3.278,17.08,0.051,-0.005,11.32
2020-01-01 07:00:00,2020-01-01 08:00:00,10017,Morwell East,1.393,16.852,0.045,-0.315,15.612
2020-01-01 08:00:00,2020-01-01 09:00:00,10017,Morwell East,0.842,17.382,0.043,-0.28,18.532
2020-01-01 09:00:00,2020-01-01 10:00:00,10017,Morwell East,4.184,14.144,0.043,-0.08,20.958
2020-01-01 10:00:00,2020-01-01 11:00:00,10017,Morwell East,3.819,12.568,0.041,-0.21,21.511
2020-01-01 11:00:00,2020-01-01 12:00:00,10017,Morwell East,4.171,12.116,0.038,-0.318,23.048
2020-01-01 12:00:00,2020-01-01 13:00:00,10017,Morwell East,7.803,14.831,0.043,-0.428,23.88
2020-01-01 13:00:00,2020-01-01 14:00:00,10017,Morwell East,11.652,15.603,0.048,-0.583,25.532
2020-01-01 14:00:00,2020-01-01 15:00:00,10017,Morwell East,10.836,12.4,0.055,-0.616,26.251
2020-01-01 15:00:00,2020-01-01 16:00:00,10017,Morwell East,7.522,10.148,0.059,-0.568,25.595
