datetime_AEST,datetime_local,location_id,location_name,BPM2.5,BSP,CO,NO2,O3,SO2,DBT
2019-12-31 23:00:00,2020-01-01 00:00:00,10217,Morwell South,5.598,26.52,0.07,4.718,7.287,0.571,12.387
2020-01-01 00:00:00,2020-01-01 01:00:00,10217,Morwell South,6.922,,,,,,11.051
2020-01-01 01:00:00,2020-01-01 02:00:00,10217,Morwell South,5.997,15.951,0.059,3.762,4.406,0.496,9.802
2020-01-01 02:00:00,2020-01-01 03:00:00,10217,Morwell South,4.276,16.805,0.048,3.619,3.493,0.446,9.026
2020-01-01 03:00:00,2020-01-01 04:00:00,10217,Morwell South,4.013,19.404,0.066,2.893,3.439,0.6,8.499
2020-01-01 04:00:00,2020-01-01 05:00:00,10217,Morwell South,3.756,17.893,0.042,3.46,2.652,0.475,8.324
2020-01-01 05:00:00,2020-01-01 06:00:00,10217,Morwell South,3.249,19.283,0.049,3.257,2.839,0.654,8.693
2020-01-01 06:00:00,2020-01-01 07:00:00,10217,Morwell South,2.267,20.638,0.045,2.185,4.393,0.582,10.266
2020-01-01 07:00:00,2020-01-01 08:00:00,10217,Morwell South,3.407,18.962,0.038,1.22,9.464,0.445,13.238
2020-01-01 08:00:00,2020-01-01 09:00:00,10217,Morwell South,2.926,17.964,0.029,1.081,15.674,0.7,16.618
2020-01-01 09:00:00,2020-01-01 10:00:00,10217,Morwell South,5.98,14.297,-0.01,1.097,18.21,0.71,19.27
2020-01-01 10:00:00,2020-01-01 11:00:00,10217,Morwell South,10.084,11.659,-0.011,1.044,20.006,0.661,20.675
2020-01-01 11:00:00,2020-01-01 12:00:00,10217,Morwell South,10.826,11.648,0,1.234,20.516,0.593,21.796
2020-01-01 12:00:00,2020-01-01 13:00:00,10217,Morwell South,8.064,13.569,0.02,1.578,22.9,0.736,23.067
2020-01-01 13:00:00,2020-01-01 14:00:00,10217,Morwell South,6.955,14.289,0.021,1.855,23.587,0.736,23.787
2020-01-01 14:00:00,2020-01-01 15:00:00,10217,Morwell South,8.111,11.262,0.005,1.67,23.177,0.856,24.422
2020-01-01 15:00:00,2020-01-01 16:00:00,10217,Morwell South,8.724,10.142,-0.022,1.636,22.414,0.754,24.418
2020-01-01 16:00:00,2020-01-01 17:00:00,10217,Morwell South,8.393,9.051,-0.027,1.491,20.916,0.805,23.624
2020-01-01 17:00:00,2020-01-01 18:00:00,10217,Morwell South,7.392,9.515,-0.045,1.696,21.01,0.839,23.191
2020-01-01 18:00:00,2020-01-01 19:00:00,10217,Morwell South,5.779,9.601,-0.064,1.695,20.124,1.051,22.097
2020-01-01 19:00:00,2020-01-01 20:00:00,10217,Morwell South,6.405,10.387,-0.084,1.835,17.97,1.068,19.675
2020-01-01 20:00:00,2020-01-01 21:00:00,10217,Morwell South,6.959,10.791,-0.053,2.983,15.664,0.836,18.049
2020-01-01 21:00:00,2020-01-01 22:00:00,10217,Morwell South,4.503,12.74,-0.007,2.359,14.369,0.816,16.418
2020-01-01 22:00:00,2020-01-01 23:00:00,10217,Morwell South,3.921,15.044,0.055,2.596,12.476,0.378,15.155
2020-01-01 23:00:00,2020-01-02 00:00:00,10217,Morwell South,1.942,15.675,0.062,4.616,9.102,0.03,14.042
2020-01-02 00:00:00,2020-01-02 01:00:00,10217,Morwell South,0.271,,,,,,13.506
2020-01-02 01:00:00,2020-01-02 02:00:00,10217,Morwell South,1.255,14.518,0.08,2.997,6.675,0.135,12.047
2020-01-02 02:00:00,2020-01-02 03:00:00,10217,Morwell South,2.063,16.795,0.067,3.684,4.704,0.189,10.995
2020-01-02 03:00:00,2020-01-02 04:00:00,10217,Morwell South,2.844,17.01,0.061,3.385,3.098,0.134,10.195
2020-01-02 04:00:00,2020-01-02 05:00:00,10217,Morwell South,2.909,16.015,0.06,3.944,1.914,0.075,9.591
2020-01-02 05:00:00,2020-01-02 06:00:00,10217,Morwell South,2.082,16.927,0.075,5.028,1.235,0.216,9.796
2020-01-02 06:00:00,2020-01-02 07:00:00,10217,Morwell South,2.112,17.765,0.078,2.082,5.223,0.112,11.97
2020-01-02 07:00:00,2020-01-02 08:00:00,10217,Morwell South,4.648,16.181,0.068,2.101,11.485,0.364,15.108
2020-01-02 08:00:00,2020-01-02 09:00:00,10217,Morwell South,7.987,19.046,0.048,3.957,15.214,0.706,18.738
2020-01-02 09:00:00,2020-01-02 10:00:00,10217,Morwell South,8.236,11.905,-0.02,1.336,21.375,0.909,20.752
2020-01-02 10:00:00,2020-01-02 11:00:00,10217,Morwell South,6.677,16.237,0.064,1.553,23.051,0.577,22.818
2020-01-02 11:00:00,2020-01-02 12:00:00,10217,Morwell South,5.597,25.07,0.095,1.83,22.582,0.371,24.001
2020-01-02 12:00:00,2020-01-02 13:00:00,10217,Morwell South,4.997,25.73,0.095,2.443,23.247,0.491,25.135
2020-01-02 13:00:00,2020-01-02 14:00:00,10217,Morwell South,7.058,31.327,0.059,2.942,25.721,0.388,25.949
2020-01-02 14:00:00,2020-01-02 15:00:00,10217,Morwell South,9.275,35.726,0.076,3.223,25.657,0.414,26.549
2020-01-02 15:00:00,2020-01-02 16:00:00,10217,Morwell South,8.07,26.145,-0.014,2.787,25.518,0.615,26.318
2020-01-02 16:00:00,2020-01-02 17:00:00,10217,Morwell South,7.042,22.492,0.012,2.484,24.826,0.66,25.845
2020-01-02 17:00:00,2020-01-02 18:00:00,10217,Morwell South,7.609,17.649,-0.048,2.385,21.757,0.642,24.733
2020-01-02 18:00:00,2020-01-02 19:00:00,10217,Morwell South,7.651,19.148,0.015,1.56,20.4,0.583,22.73
2020-01-02 19:00:00,2020-01-02 20:00:00,10217,Morwell South,9.342,18.946,0.031,1.537,17.286,0.913,20.443
2020-01-02 20:00:00,2020-01-02 21:00:00,10217,Morwell South,9.475,17.309,0.027,1.792,15.463,0.754,18.556
2020-01-02 21:00:00,2020-01-02 22:00:00,10217,Morwell South,6.504,15.987,0.054,1.605,14.687,0.466,17.344
2020-01-02 22:00:00,2020-01-02 23:00:00,10217,Morwell South,5.436,18.441,0.086,1.694,13.79,-0.007,16.306
2020-01-02 23:00:00,2020-01-03 00:00:00,10217,Morwell South,3.249,20.192,0.095,2.094,12.626,-0.229,15.436
2020-01-03 00:00:00,2020-01-03 01:00:00,10217,Morwell South,3.593,,,,,,14.473
2020-01-03 01:00:00,2020-01-03 02:00:00,10217,Morwell South,4.569,17.471,0.145,4.002,10.371,-0.35,14.14
2020-01-03 02:00:00,2020-01-03 03:00:00,10217,Morwell South,5.709,18.723,0.122,4.429,9.383,-0.245,13.626
2020-01-03 03:00:00,2020-01-03 04:00:00,10217,Morwell South,5.488,18.622,0.129,6.198,3.846,-0.071,12.123
2020-01-03 04:00:00,2020-01-03 05:00:00,10217,Morwell South,5.367,17.086,0.118,4.322,2.804,-0.197,11.089
2020-01-03 05:00:00,2020-01-03 06:00:00,10217,Morwell South,4.204,17.565,0.127,5.269,2.348,-0.033,10.97
2020-01-03 06:00:00,2020-01-03 07:00:00,10217,Morwell South,3.928,33.461,0.163,6.929,2.17,-0.013,12.148
2020-01-03 07:00:00,2020-01-03 08:00:00,10217,Morwell South,2.872,36.874,0.157,5.993,2.64,-0.137,12.519
2020-01-03 08:00:00,2020-01-03 09:00:00,10217,Morwell South,3.048,245.278,0.423,8.303,2.973,-0.14,14.129
2020-01-03 09:00:00,2020-01-03 10:00:00,10217,Morwell South,16.168,270.987,0.466,6.906,7.629,-0.206,15.777
2020-01-03 10:00:00,2020-01-03 11:00:00,10217,Morwell South,35.728,1368.858,1.919,12.015,13.025,-0.046,18.194
2020-01-03 11:00:00,2020-01-03 12:00:00,10217,Morwell South,104.952,1969.357,2.633,11.209,24.666,0.272,20.225
2020-01-03 12:00:00,2020-01-03 13:00:00,10217,Morwell South,175.973,2140.795,3.041,10.395,43.356,0.309,22.882
2020-01-03 13:00:00,2020-01-03 14:00:00,10217,Morwell South,232.525,2212.615,3.327,11.415,59.18,1.287,25.386
2020-01-03 14:00:00,2020-01-03 15:00:00,10217,Morwell South,269.868,1825.992,2.797,11.01,64.219,2.47,27.341
2020-01-03 15:00:00,2020-01-03 16:00:00,10217,Morwell South,271.82,1252.527,1.908,9.469,64.929,2.314,28.224
2020-01-03 16:00:00,2020-01-03 17:00:00,10217,Morwell South,241.089,874.079,1.351,6.557,53.483,1.585,27.459
2020-01-03 17:00:00,2020-01-03 18:00:00,10217,Morwell South,192.247,629.085,0.943,4.601,41.939,0.805,25.758
2020-01-03 18:00:00,2020-01-03 19:00:00,10217,Morwell South,149.018,658.708,0.881,4.162,35.286,0.562,23.854
2020-01-03 19:00:00,2020-01-03 20:00:00,10217,Morwell South,115.781,691.958,0.937,4.495,31.044,0.394,21.897
2020-01-03 20:00:00,2020-01-03 21:00:00,10217,Morwell South,108.499,743.911,0.954,4.788,27.69,0.369,20.048
2020-01-03 21:00:00,2020-01-03 22:00:00,10217,Morwell South,107.055,785.981,0.987,5.416,24.122,0.359,18.797
2020-01-03 22:00:00,2020-01-03 23:00:00,10217,Morwell South,105.466,695.858,0.836,5.14,22.359,0.097,17.944
2020-01-03 23:00:00,2020-01-04 00:00:00,10217,Morwell South,99.781,655.881,0.79,5.226,20.092,-0.29,17.251
2020-01-04 00:00:00,2020-01-04 01:00:00,10217,Morwell South,97.257,,,,,,17.029
2020-01-04 01:00:00,2020-01-04 02:00:00,10217,Morwell South,96.092,705.753,0.863,5.384,18.363,-0.464,16.308
2020-01-04 02:00:00,2020-01-04 03:00:00,10217,Morwell South,99.553,696.852,0.85,5.763,14.182,-0.525,15.372
