datetime_AEST,datetime_local,location_id,location_name,BPM2.5,BSP,CO,NO2,O3,PM10,SO2,VWS,VWD,Sigma,SWS,DBT,SWD
2019-12-31 23:00:00,2020-01-01 00:00:00,10011,Traralgon,10.086,25.804,0.204,7.138,5.997,21.175,0.11,0.306,207.745,85.247,0.71,12.72,180.034
2020-01-01 00:00:00,2020-01-01 01:00:00,10011,Traralgon,12.028,,,,,15.197,,0.481,158.26,51.714,0.65,11.197,162.039
2020-01-01 01:00:00,2020-01-01 02:00:00,10011,Traralgon,9.476,13.718,0.139,4.086,5.014,10.229,0.074,0.723,172.941,27.778,0.787,9.91,171.089
2020-01-01 02:00:00,2020-01-01 03:00:00,10011,Traralgon,7.45,16.483,0.139,3.837,5.554,13.125,0.033,0.616,221.172,34.32,0.708,9.641,220.334
2020-01-01 03:00:00,2020-01-01 04:00:00,10011,Traralgon,7.752,14.807,0.123,3.504,5.555,10.63,0.018,0.512,246.872,40.835,0.584,9.166,242.924
2020-01-01 04:00:00,2020-01-01 05:00:00,10011,Traralgon,6.511,15.026,0.118,5.206,2.768,10.59,0.065,1.184,216.272,19.501,1.242,8.552,216.749
2020-01-01 05:00:00,2020-01-01 06:00:00,10011,Traralgon,5.509,14.634,0.108,3.214,3.073,14.517,0.077,0.781,211.814,38.261,0.894,8.667,218.548
2020-01-01 06:00:00,2020-01-01 07:00:00,10011,Traralgon,6.457,17.495,0.113,2.758,5.366,17.252,0.155,1.227,211.531,23.159,1.305,10.456,209.541
2020-01-01 07:00:00,2020-01-01 08:00:00,10011,Traralgon,6.092,16.684,0.136,1.933,9.442,17.276,0.136,2.23,233.84,24.141,2.42,13.696,233.959
2020-01-01 08:00:00,2020-01-01 09:00:00,10011,Traralgon,4.821,18.052,0.163,1.565,15.377,17.632,0.48,1.418,241.491,36.963,1.689,16.693,241.728
2020-01-01 09:00:00,2020-01-01 10:00:00,10011,Traralgon,4.31,12.958,0.161,1.013,18.433,9.633,0.346,2.31,230.369,32.671,2.646,19.382,230.286
2020-01-01 10:00:00,2020-01-01 11:00:00,10011,Traralgon,2.692,12.933,0.159,1.251,20.803,16.128,0.827,1.736,226.741,43.766,2.103,21.411,222.791
2020-01-01 11:00:00,2020-01-01 12:00:00,10011,Traralgon,2.375,13.021,0.152,1.891,21.946,17.363,1.193,1.532,241.845,56.054,2.221,23.543,235.951
2020-01-01 12:00:00,2020-01-01 13:00:00,10011,Traralgon,4.444,14.256,0.16,2.172,22.537,19.976,2.716,2.231,249.992,46.429,2.891,24.762,246.2
2020-01-01 13:00:00,2020-01-01 14:00:00,10011,Traralgon,7.537,16.325,0.179,2.047,25.807,19.015,1.328,2.222,254.714,43.067,2.829,26.008,253.021
2020-01-01 14:00:00,2020-01-01 15:00:00,10011,Traralgon,7.284,15.101,0.2,1.383,24.974,13.596,0.63,2.708,236.16,36.64,3.166,27.057,234.199
2020-01-01 15:00:00,2020-01-01 16:00:00,10011,Traralgon,4.786,11.438,0.222,1.235,23.315,14.957,0.18,3.579,209.759,25.485,3.863,27.119,207.846
2020-01-01 16:00:00,2020-01-01 17:00:00,10011,Traralgon,2.813,9.778,0.227,1.145,21.497,11.619,0.156,4.136,207.292,22.383,4.381,25.847,206.039
2020-01-01 17:00:00,2020-01-01 18:00:00,10011,Traralgon,2.618,8.81,0.216,1.15,20.594,15.784,0.127,3.659,207.777,22.23,3.876,24.619,205.623
2020-01-01 18:00:00,2020-01-01 19:00:00,10011,Traralgon,4.567,9.868,0.196,1.244,20.233,10.422,0.188,2.3,207.68,27.653,2.49,22.798,203.622
2020-01-01 19:00:00,2020-01-01 20:00:00,10011,Traralgon,6.26,9.484,0.142,1.319,19.169,11.502,0.126,2.224,221.107,21.584,2.351,20.686,223.453
2020-01-01 20:00:00,2020-01-01 21:00:00,10011,Traralgon,5.95,9.155,0.142,1.821,17.16,9.213,0.094,1.877,231.188,20.493,1.988,18.885,231.003
2020-01-01 21:00:00,2020-01-01 22:00:00,10011,Traralgon,4.262,9.251,0.152,3.737,13.876,12.457,0.141,0.961,237.88,47.111,1.291,17.306,230.328
2020-01-01 22:00:00,2020-01-01 23:00:00,10011,Traralgon,4.655,9.897,0.164,3.47,12.63,12.208,0.134,0.38,304.437,64.149,0.656,16.117,253.626
2020-01-01 23:00:00,2020-01-02 00:00:00,10011,Traralgon,2.405,12.428,0.169,4.622,8.945,14.778,0.074,0.167,322.702,68.776,0.391,14.538,205.758
2020-01-02 00:00:00,2020-01-02 01:00:00,10011,Traralgon,1.228,,,,,12.326,,0.284,172.105,65.246,0.446,13.182,184.723
2020-01-02 01:00:00,2020-01-02 02:00:00,10011,Traralgon,2.298,12.812,0.167,6.004,5.646,11.837,0.05,0.287,218.588,44.691,0.366,12.196,226.154
2020-01-02 02:00:00,2020-01-02 03:00:00,10011,Traralgon,2.812,12.564,0.179,7.646,3.703,9.456,0.056,0.265,207.436,61.184,0.343,11.385,212.644
2020-01-02 03:00:00,2020-01-02 04:00:00,10011,Traralgon,3.712,11.622,0.176,6.981,3.685,9.104,0.005,0.29,233.728,51.13,0.403,10.837,215.874
2020-01-02 04:00:00,2020-01-02 05:00:00,10011,Traralgon,4.539,11.678,0.167,6.192,3.81,8.091,-0.034,0.472,204.81,43.732,0.576,10.435,205.323
2020-01-02 05:00:00,2020-01-02 06:00:00,10011,Traralgon,5.352,14.203,0.168,7.695,1.915,14.142,0.071,0.678,202.288,29.87,0.754,10.489,203.701
2020-01-02 06:00:00,2020-01-02 07:00:00,10011,Traralgon,6.004,14.877,0.186,3.975,5.534,15.497,0.14,0.766,244.796,40.433,0.953,12.695,243.441
2020-01-02 07:00:00,2020-01-02 08:00:00,10011,Traralgon,6.887,15.539,0.193,4.108,10.207,19.093,0.26,1.561,218.109,25.546,1.702,15.605,219.936
2020-01-02 08:00:00,2020-01-02 09:00:00,10011,Traralgon,7.406,14.852,0.182,2.618,16.772,10.414,0.927,0.963,239.034,55.156,1.396,19.012,231.446
2020-01-02 09:00:00,2020-01-02 10:00:00,10011,Traralgon,5.417,15.434,0.182,3.384,21.295,12.351,3.305,1.015,234.272,65.959,1.585,21.885,215.482
2020-01-02 10:00:00,2020-01-02 11:00:00,10011,Traralgon,3.746,22.381,0.204,5.46,20.928,20.983,8.627,1.518,229.789,49.431,1.95,24.072,226.523
2020-01-02 11:00:00,2020-01-02 12:00:00,10011,Traralgon,3.873,21.692,0.214,1.487,25.83,17.738,0.47,2.348,214.278,36.824,2.683,25.852,211.126
2020-01-02 12:00:00,2020-01-02 13:00:00,10011,Traralgon,5.524,21.139,0.237,2.372,26.986,18.663,1.854,2.02,229.446,41.996,2.427,27.58,227.243
2020-01-02 13:00:00,2020-01-02 14:00:00,10011,Traralgon,6.797,25.006,0.26,2.554,27.246,22.539,1.944,1.876,219.468,47.389,2.378,28.764,216.939
2020-01-02 14:00:00,2020-01-02 15:00:00,10011,Traralgon,7.943,28.208,0.281,2.252,29.783,21.949,1.467,1.808,218.031,52.86,2.342,29.292,214.056
